"","GEO_ID","NAME","I_2010","I_2011","I_2012","I_2013","I_2014","I_2015","I_2016","I_2017","I_2018"
"69","72135","Toa Alta Municipio, Puerto Rico",11055,11821,12340,12584,13197,13689,13816,14162,14241
"70","72137","Toa Baja Municipio, Puerto Rico",10938,11124,11328,11562,11736,11673,12008,12240,12763
"71","72139","Trujillo Alto Municipio, Puerto Rico",14588,14305,14500,14915,15182,15409,15760,15703,15886
"72","72141","Utuado Municipio, Puerto Rico",6775,7234,7388,7408,7642,7717,7841,8140,8639
"73","72143","Vega Alta Municipio, Puerto Rico",8890,8895,9109,9257,10072,9918,10448,10492,11678
"74","72145","Vega Baja Municipio, Puerto Rico",9053,8864,8681,9017,9145,9102,9632,10197,10601
"75","72147","Vieques Municipio, Puerto Rico",8054,8417,8209,8370,8611,8821,9808,11136,11156
"76","72149","Villalba Municipio, Puerto Rico",6877,7318,7602,7997,8271,8420,8733,10449,10677
"77","72151","Yabucoa Municipio, Puerto Rico",7449,7642,7848,7956,7864,7960,8531,8672,9148
"78","72153","Yauco Municipio, Puerto Rico",7374,7403,7266,7491,7858,7743,7998,8124,8339
