"","GEO_ID","NAME","U1_unit_detached_2010","U1_unit_attached_2010","U2_units_2010","U3_or_4_units_2010","U5_to_9_units_2010","U10_to_19_units_2010","U20_or_more_units_2010","UMobile_home_2010","UBoat_RV_van_etc_2010","U1_unit_detached_2011","U1_unit_attached_2011","U2_units_2011","U3_or_4_units_2011","U5_to_9_units_2011","U10_to_19_units_2011","U20_or_more_units_2011","UMobile_home_2011","UBoat_RV_van_etc_2011","U1_unit_detached_2012","U1_unit_attached_2012","U2_units_2012","U3_or_4_units_2012","U5_to_9_units_2012","U10_to_19_units_2012","U20_or_more_units_2012","UMobile_home_2012","UBoat_RV_van_etc_2012","U1_unit_detached_2013","U1_unit_attached_2013","U2_units_2013","U3_or_4_units_2013","U5_to_9_units_2013","U10_to_19_units_2013","U20_or_more_units_2013","UMobile_home_2013","UBoat_RV_van_etc_2013","U1_unit_detached_2014","U1_unit_attached_2014","U2_units_2014","U3_or_4_units_2014","U5_to_9_units_2014","U10_to_19_units_2014","U20_or_more_units_2014","UMobile_home_2014","UBoat_RV_van_etc_2014","U1_unit_detached_2015","U1_unit_attached_2015","U2_units_2015","U3_or_4_units_2015","U5_to_9_units_2015","U10_to_19_units_2015","U20_or_more_units_2015","UMobile_home_2015","UBoat_RV_van_etc_2015","U1_unit_detached_2016","U1_unit_attached_2016","U2_units_2016","U3_or_4_units_2016","U5_to_9_units_2016","U10_to_19_units_2016","U20_or_more_units_2016","UMobile_home_2016","UBoat_RV_van_etc_2016","U1_unit_detached_2017","U1_unit_attached_2017","U2_units_2017","U3_or_4_units_2017","U5_to_9_units_2017","U10_to_19_units_2017","U20_or_more_units_2017","UMobile_home_2017","UBoat_RV_van_etc_2017","U1_unit_detached_2018","U1_unit_attached_2018","U2_units_2018","U3_or_4_units_2018","U5_to_9_units_2018","U10_to_19_units_2018","U20_or_more_units_2018","UMobile_home_2018","UBoat_RV_van_etc_2018"
"11","72021","Bayamón Municipio, Puerto Rico",63.2,13.5,5.4,4,5.5,3.4,5,0.1,0,61.3,13,6.6,4.6,5.7,3.6,4.9,0.1,0,60.2,12.4,7.5,5.1,5.9,3.7,5.1,0.1,0,59.4,12.6,7.2,5.6,6.2,3.7,5.2,0.1,0,58.6,12.6,7.5,6,6.4,3.7,5.1,0.1,0,58.9,13,7.1,5.7,6.6,3.6,5,0.1,0,58.8,13.4,6.8,5.7,6.5,3.2,5.4,0.2,0,59.4,13.2,7,5.8,6.3,3,5,0.3,0,59.5,13.6,7,5.6,6.1,2.8,5.1,0.4,0
"12","72023","Cabo Rojo Municipio, Puerto Rico",74.3,5.8,4.5,2.3,3.4,2.7,3.3,3.7,0,75.5,4.3,5.5,2.2,3,2.8,2.9,3.8,0,75.8,3.5,5.8,2.4,2.4,3.2,2.9,3.9,0,75.3,2.8,5.8,2.5,2.9,3.4,3.1,4.1,0,74.3,2.5,6.3,2.5,2.7,3.4,3.7,4.6,0,73.6,2.3,6.8,2.8,2.6,3.4,3.7,4.8,0,73.1,2.1,7,3,2.5,3.5,4,4.7,0,73.3,1.8,7.3,3.1,2.6,3.2,4,4.6,0,74.4,1.8,6.8,3,2.8,3,3.7,4.5,0
"13","72025","Caguas Municipio, Puerto Rico",67.2,17.1,2.3,3,3.7,4.3,2.2,0.2,0,66.2,16.7,2.9,3.1,4.1,4.3,2.4,0.2,0,67.1,15,3.6,3.5,4.2,4.4,2.1,0.2,0,66.5,13.6,4.9,3.9,4.5,4,2.4,0.2,0,65.1,12.6,5.9,4.1,5.3,4,2.8,0.1,0,64.7,11.7,7.3,4.2,5.3,3.8,2.9,0.1,0,65.2,11.2,7.9,4.1,5.2,3.4,3,0.1,0,63.4,12.1,8.2,4.7,5.5,2.9,3,0.2,0,63.5,12.5,8.1,4.6,5.4,3,2.8,0.1,0
"14","72027","Camuy Municipio, Puerto Rico",80.8,14.6,0.7,1.5,1.4,0.3,0.5,0.2,0,80.6,15.6,0.2,1.2,1.1,0.5,0.5,0.3,0,80.9,15,0.2,1.4,1.4,0.4,0.4,0.2,0,84,12.3,0.3,1.2,1.3,0.3,0.4,0.3,0,84.7,11.4,0.5,1.1,1.3,0.2,0.5,0.3,0,84.4,11.4,0.5,1.3,1.4,0.2,0.5,0.2,0,86,9.9,0.6,1.6,1.4,0.1,0.5,0,0,85.3,10.7,0.6,1.1,1.3,0.3,0.5,0.2,0,84.9,10.6,0.6,1.3,1.6,0.3,0.5,0.3,0
"15","72029","Canóvanas Municipio, Puerto Rico",76.3,18.4,0.9,1.4,1.8,1.1,0.1,0,0,76.2,18.3,0.7,1.9,2,0.8,0.2,0,0,76.7,17.9,0.3,1.7,2.4,0.7,0.2,0,0,77.6,17,0.1,1.7,2.6,0.6,0.2,0.1,0,78.8,16.2,0.2,1.3,2.6,0.5,0.2,0.1,0,77.9,16.7,0.3,1.2,3.1,0.5,0.2,0.1,0,78.1,17,0.3,0.9,2.8,0.5,0.3,0.1,0,77.8,17.1,0.2,0.8,2.8,0.7,0.6,0.1,0,78,16.7,0.3,0.6,2.4,1,0.8,0.1,0
"16","72031","Carolina Municipio, Puerto Rico",48.7,20.1,1.7,2.8,5.7,3.6,17.4,0.1,0,47.8,20.9,1.6,3.2,6.2,3.5,16.8,0,0,48.1,20.7,1.4,3.7,6.1,3.4,16.6,0,0,47.6,19.5,1.8,4.3,6.6,3.6,16.6,0.1,0,47.1,18.2,2.5,5.2,7.1,3.6,16.1,0.1,0,46.7,16.5,3.2,6,7.4,3.9,16.2,0.2,0,46.9,15.2,3.2,6.1,7.3,4.2,16.8,0.2,0,47.1,13.6,4.3,6.2,6.9,4.1,17.5,0.3,0,48.2,13.7,3.9,5.5,6.8,3.7,17.8,0.3,0
"17","72033","Cataño Municipio, Puerto Rico",64.7,5.8,7.6,4,4.5,8.6,4.4,0.3,0,62.8,6.5,8.7,4.7,4.7,8.7,3.8,0.1,0,60.8,7.3,10.2,4.9,4.1,8.8,3.8,0.1,0,61.2,7.4,9.6,4.8,4.4,9.1,3.4,0,0,59.8,9.3,9.7,4.6,4.2,9.2,3.1,0.2,0,60.9,10.9,8.2,4.1,3.6,9.4,2.6,0.2,0,61.2,12.2,7,3.6,3.7,9.1,2.8,0.3,0,63.1,12.1,4.9,3.9,4.7,8.2,2.6,0.3,0.2,64.6,12.7,3.5,3.4,4,6.5,4.8,0.3,0.2
"18","72035","Cayey Municipio, Puerto Rico",67.7,6.4,17.6,4.1,1.4,1.4,1.2,0.1,0,67.3,6.3,16.9,4,2.6,1.7,1.1,0.2,0,69,6.2,15.5,3.9,2.3,1.9,1,0.2,0,69,5.6,16.1,3.6,2.8,1.7,1.1,0.2,0,69.1,5.6,15.5,3.9,2.8,1.8,1.2,0.1,0,68.9,5.2,14.8,4.3,3.4,2,1.2,0.2,0,69.2,4.7,15.3,4.3,3.2,2,1,0.3,0,69,4.7,16.8,3.2,2.9,1.9,1.1,0.4,0,69.8,4.6,16.1,3.2,3.1,2,0.9,0.4,0
"19","72037","Ceiba Municipio, Puerto Rico",67.7,13.9,1.5,3.1,10,2.2,1.2,0.3,0,66.8,15.2,1.5,3,9.3,2.8,1.1,0.3,0,64.9,16.3,1.1,3.6,9.3,2.5,1.8,0.4,0,66.4,16.5,1.1,4.4,6.8,3,1.8,0.1,0,67.7,16.3,0.4,4.7,6.6,2.6,1.6,0.1,0,68.3,15.7,0.2,4.4,7,2.5,1.8,0.2,0,68,14.6,0.5,4.9,8.2,1.8,1.7,0.2,0,68.6,13.1,0.7,4.7,9.4,1.2,1.6,0.5,0,68.3,12.2,1.2,4.1,10.9,0.8,1.9,0.5,0
"20","72039","Ciales Municipio, Puerto Rico",75.1,19.2,0,2.1,0.6,1.4,1.5,0,0,75.8,17.9,0.3,2.6,0.9,1.3,1.2,0,0,76.8,15.7,0.4,2.5,2,1.4,1.2,0,0,75.6,15.9,0.6,3,1.9,1.1,1.8,0,0,73.7,17.8,0.6,2.9,2.5,0.9,1.6,0,0,73.4,18.1,0.6,2.6,3,0.8,1.5,0,0,75.8,15.9,0.4,1.8,2.9,1.5,1.7,0,0,77.9,16,0.3,1.3,2,1.1,1.4,0,0,79.4,15.1,0.3,0.7,2.6,1.3,0.7,0,0
