"","GEO_ID2","NAME","MH2010","MH2011","MH2012","MH2013","MH2014","MH2015","MH2016","MH2017","MH2018","GEO_ID"
"1","0500000US72001","Adjuntas Municipio, Puerto Rico","87600","102800","111500","104600","103500","103000","90900","81700","85200","72001"
"2","0500000US72003","Aguada Municipio, Puerto Rico","88600","89200","94100","90300","91000","90000","89900","87500","86300","72003"
"3","0500000US72005","Aguadilla Municipio, Puerto Rico","106800","115000","123000","119700","126400","126500","124100","119700","120400","72005"
"4","0500000US72007","Aguas Buenas Municipio, Puerto Rico","86100","90200","94600","96400","102900","102900","109100","115000","117300","72007"
"5","0500000US72009","Aibonito Municipio, Puerto Rico","90800","100900","117100","120200","124800","129600","119900","109300","114100","72009"
"6","0500000US72011","Añasco Municipio, Puerto Rico","95700","109900","126200","110300","114400","114100","100400","91200","88800","72011"
"7","0500000US72013","Arecibo Municipio, Puerto Rico","95700","99400","104100","101700","101500","99800","98200","96600","97400","72013"
"8","0500000US72015","Arroyo Municipio, Puerto Rico","85700","86800","91700","87700","90200","91600","92300","87700","88900","72015"
"9","0500000US72017","Barceloneta Municipio, Puerto Rico","104900","105300","109700","104500","98700","106300","108200","101900","106200","72017"
"10","0500000US72019","Barranquitas Municipio, Puerto Rico","83500","88800","102800","101800","107600","99000","102500","90600","101200","72019"
"11","0500000US72021","Bayamón Municipio, Puerto Rico","141300","143900","145600","144500","143300","142800","141100","138200","134900","72021"
"12","0500000US72023","Cabo Rojo Municipio, Puerto Rico","110300","114500","119700","112700","116800","115000","112800","114100","112400","72023"
"13","0500000US72025","Caguas Municipio, Puerto Rico","131300","135600","140200","139800","140500","138000","137300","133300","131300","72025"
"14","0500000US72027","Camuy Municipio, Puerto Rico","85200","89600","97900","96200","98900","100900","105300","108300","100200","72027"
"15","0500000US72029","Canóvanas Municipio, Puerto Rico","116700","119300","120700","121400","121700","121100","116600","115900","110200","72029"
"16","0500000US72031","Carolina Municipio, Puerto Rico","151000","154100","155100","155100","153700","152800","150300","146400","143900","72031"
"17","0500000US72033","Cataño Municipio, Puerto Rico","119800","120400","122800","124600","127000","124300","127100","125000","119200","72033"
"18","0500000US72035","Cayey Municipio, Puerto Rico","98900","105500","112000","111900","115800","118100","120800","119500","117400","72035"
"19","0500000US72037","Ceiba Municipio, Puerto Rico","97600","98600","99100","96700","98000","97300","96200","94000","92600","72037"
"20","0500000US72039","Ciales Municipio, Puerto Rico","95400","98100","106900","104300","107300","108200","103700","93400","89700","72039"
"21","0500000US72041","Cidra Municipio, Puerto Rico","106200","106800","114000","115200","117800","118200","120000","117500","121700","72041"
"22","0500000US72043","Coamo Municipio, Puerto Rico","80100","86600","88800","91200","92100","93200","90500","88300","88800","72043"
"23","0500000US72045","Comerío Municipio, Puerto Rico","81300","87000","91400","92900","95000","92700","89000","87800","89700","72045"
"24","0500000US72047","Corozal Municipio, Puerto Rico","87300","99700","109000","112300","109200","101800","93500","88900","89900","72047"
"25","0500000US72049","Culebra Municipio, Puerto Rico","117900","121400","124200","118800","154900","122800","104800","89600","113500","72049"
"26","0500000US72051","Dorado Municipio, Puerto Rico","141100","142700","141300","146100","150300","140300","148600","143300","139000","72051"
"27","0500000US72053","Fajardo Municipio, Puerto Rico","101500","105000","107300","107200","106900","106700","105300","102300","99500","72053"
"28","0500000US72054","Florida Municipio, Puerto Rico","107200","102100","104300","108700","95000","91300","94300","94500","93200","72054"
"29","0500000US72055","Guánica Municipio, Puerto Rico","74900","80700","84900","86900","87500","90100","90000","87700","90900","72055"
"30","0500000US72057","Guayama Municipio, Puerto Rico","87400","91800","92900","94000","97600","96000","95200","90800","88900","72057"
"31","0500000US72059","Guayanilla Municipio, Puerto Rico","74600","80000","82600","85500","86100","84800","82600","82100","80300","72059"
"32","0500000US72061","Guaynabo Municipio, Puerto Rico","201300","206000","210700","204500","199000","200400","199100","191200","177400","72061"
"33","0500000US72063","Gurabo Municipio, Puerto Rico","140700","150100","161900","163900","163500","163600","156700","147500","143500","72063"
"34","0500000US72065","Hatillo Municipio, Puerto Rico","93900","101200","138300","134500","135200","129300","112800","97500","93500","72065"
"35","0500000US72067","Hormigueros Municipio, Puerto Rico","88900","90600","99000","102800","106100","106900","109200","104700","101600","72067"
"36","0500000US72069","Humacao Municipio, Puerto Rico","108400","110800","111300","113600","109000","102400","98300","97300","95400","72069"
"37","0500000US72071","Isabela Municipio, Puerto Rico","98700","101700","107700","107500","106500","109000","109000","103100","105300","72071"
"38","0500000US72073","Jayuya Municipio, Puerto Rico","94400","96500","97500","95200","93000","91700","90300","90700","94100","72073"
"39","0500000US72075","Juana Díaz Municipio, Puerto Rico","96000","101700","107400","104500","105500","103700","99000","93300","93300","72075"
"40","0500000US72077","Juncos Municipio, Puerto Rico","109800","114900","118300","116400","117300","117700","116100","112800","108500","72077"
"41","0500000US72079","Lajas Municipio, Puerto Rico","88500","95900","98600","100500","98500","97800","93900","91400","88800","72079"
"42","0500000US72081","Lares Municipio, Puerto Rico","92800","98300","103300","96800","96800","91000","87500","86400","88000","72081"
"43","0500000US72083","Las Marías Municipio, Puerto Rico","83000","90700","101600","83500","89100","80200","75500","73100","83400","72083"
