"GEO_ID"	"NAME"	"y5_17_2012"	"y18_34_2012"	"y35_64_2012"	"y65_74_2012"	"y5_17_2013"	"y18_34_2013"	"y35_64_2013"	"y65_74_2013"	"y5_17_2014"	"y18_34_2014"	"y35_64_2014"	"y65_74_2014"	"y5_17_2015"	"y18_34_2015"	"y35_64_2015"	"y65_74_2015"	"y5_17_2016"	"y18_34_2016"	"y35_64_2016"	"y65_74_2016"	"y5_17_2017"	"y18_34_2017"	"y35_64_2017"	"y65_74_2017"	"y5_17_2018"	"y18_34_2018"	"y35_64_2018"	"y65_74_2018"
"1"	"72001"	"Adjuntas Municipio, Puerto Rico"	0.196798493408663	0.236398828206738	0.383448420171584	0.0808746599707052	0.191199663547471	0.234991062979708	0.384817579644622	0.0846388392387762	0.186296414512182	0.234067453984466	0.388339185019683	0.0892116182572614	0.182224616213305	0.231618637220576	0.390358200915702	0.0935092916778885	0.178321678321678	0.229731206293706	0.393520541958042	0.0977928321678322	0.175365228058436	0.227946916471507	0.398851343816215	0.102598416415747	0.173520735727919	0.228758169934641	0.409104054601192	0.108334779339464
"2"	"72003"	"Aguada Municipio, Puerto Rico"	0.183652114663941	0.238915656786879	0.411349588747749	0.0802550250644863	0.178596879223492	0.237965352008846	0.414743826022853	0.0844329770242045	0.17349583769503	0.236254424006779	0.418772743133443	0.0892029310602662	0.168508636605043	0.233681495156926	0.421486558255987	0.0932196960117347	0.163178733031674	0.231746194981489	0.424542369395311	0.0985705470999589	0.159025750282753	0.230463715510666	0.429600988979195	0.103842815434388	0.155921465825619	0.231151525081238	0.439556538598072	0.109800387755659
"3"	"72005"	"Aguadilla Municipio, Puerto Rico"	0.181972298981131	0.221472527845118	0.382355434248224	0.0967840371607303	0.179992075387186	0.219890778162523	0.383378985994108	0.101607318207659	0.176864194503319	0.216889418276726	0.38315612464748	0.10643031056771	0.175082848186296	0.215602328705777	0.382642185400806	0.110989699955217	0.172604501607717	0.213890675241158	0.383739090491502	0.116343592099219	0.170181007444356	0.212447568302914	0.386483014019575	0.120942447946189	0.168920789338395	0.215683948273817	0.395816031953178	0.125617906434136
"4"	"72007"	"Aguas Buenas Municipio, Puerto Rico"	0.191656266714209	0.240007131395971	0.387413086111606	0.0802282046710644	0.188616071428571	0.237579205069124	0.390588997695853	0.0844254032258065	0.185970815199503	0.235965329334747	0.394323958600007	0.0889807263284936	0.183101731440886	0.23288994575314	0.397525451437913	0.0932600133759382	0.179425021779478	0.231620014393394	0.401954471421537	0.0974963069580698	0.176028511660339	0.230572557526923	0.405826295808476	0.101650267296816	0.1736570414583	0.233303758670753	0.415833198903049	0.107315696080013
"5"	"72009"	"Aibonito Municipio, Puerto Rico"	0.185533468237908	0.236757528865611	0.394199103281355	0.0833630916954331	0.180605232488044	0.236346099746815	0.396977856367801	0.0879315195113129	0.17577070897048	0.235914629160193	0.400523346144411	0.0930574863030501	0.171150567591168	0.233606386959957	0.40209572123581	0.0977587425672585	0.166186440677966	0.231822033898305	0.403474576271186	0.102923728813559	0.16244579358196	0.229358196010408	0.40633130962706	0.10836947094536	0.160730428493943	0.229931296329778	0.41665160007232	0.115395046103779
"6"	"72011"	"Añasco Municipio, Puerto Rico"	0.183749870012825	0.225172449651634	0.398107386737842	0.0928975007799231	0.179851841498358	0.224543993290936	0.400097840519952	0.0968271717101125	0.175143038779402	0.224200042381861	0.401885992795084	0.100939464575828	0.171354949538329	0.223140791639825	0.403943883759216	0.104609548350154	0.16683603106627	0.222363359221892	0.406728605647093	0.1087682369166	0.163138970233903	0.222078066501094	0.411387478222189	0.113207547169811	0.160195106963168	0.224910703998156	0.42028651534355	0.117985943081
"7"	"72013"	"Arecibo Municipio, Puerto Rico"	0.177902801308485	0.221994906711846	0.385971081204914	0.0971347590278	0.174233867931632	0.21985220562135	0.385136661395979	0.100659373756279	0.170905703797052	0.220327653279272	0.387639033477618	0.104903840885431	0.167378766412691	0.220401378833346	0.388784150109883	0.107796655548242	0.163696610150192	0.221905922273716	0.391330091891461	0.111545074640462	0.16110415227749	0.22428385797736	0.395818456387624	0.115425587956405	0.158966613478849	0.228139197797781	0.403342306240027	0.119075750009135
"8"	"72015"	"Arroyo Municipio, Puerto Rico"	0.201568912670788	0.234401787105824	0.370824458413424	0.0875370149098654	0.198227954283318	0.233511586452763	0.374331550802139	0.0917479291181713	0.195420009563785	0.232718771584932	0.377556984219755	0.0959566441740609	0.192793181572985	0.23082317402093	0.380515697486244	0.100819937425828	0.189953937266945	0.229326606711998	0.384020618556701	0.105834612853696	0.188134357651545	0.228508944092413	0.38882969775136	0.111086188526888	0.187157992781465	0.229537780882524	0.397426941436721	0.116427989288625
"9"	"72017"	"Barceloneta Municipio, Puerto Rico"	0.191040683843393	0.23845812668844	0.365912664811903	0.0839482278940365	0.187552870090634	0.23730110775428	0.368700906344411	0.0877341389728097	0.183216896175746	0.235633808504624	0.371602794491782	0.0922343819407988	0.178918281929375	0.23320736315982	0.373399975618676	0.096306229428258	0.174023317651872	0.231785641235426	0.376641439967273	0.100470443853549	0.170095624456679	0.232561990313367	0.379889886989278	0.104276193235915	0.167078785811733	0.235717939972715	0.390433151432469	0.108586289222374
"10"	"72019"	"Barranquitas Municipio, Puerto Rico"	0.207954431897672	0.259751507278239	0.361646847206955	0.0641550914359948	0.202918437698718	0.259981927105994	0.363901067639479	0.0670705177549449	0.197608431293069	0.260403999459533	0.366876097824618	0.0707336846372112	0.192568835511276	0.260022518680269	0.369784025384694	0.0741751680371217	0.187435242108172	0.25972231815984	0.373592595150929	0.0784002210402708	0.183242028374772	0.258638853771597	0.378459053237814	0.0827012220817531	0.180952034619441	0.260664024146333	0.389323248118113	0.088148659951271
