"GEO_ID"	"NAME"	"HI2012"	"HI2013"	"HI2014"	"HI2015"	"HI2016"	"HI2017"	"HI2018"
"1"	"72001"	"Adjuntas Municipio, Puerto Rico"	0.914574178698472	0.914572600147198	0.924726034684541	0.939348235927821	0.951923076923077	0.967436154789785	0.986928104575163
"2"	"72003"	"Aguada Municipio, Puerto Rico"	0.953715870930063	0.957930949748126	0.962813419071831	0.965023646341772	0.973467708761826	0.97893158683816	0.992545260915868
"3"	"72005"	"Aguadilla Municipio, Puerto Rico"	0.941597301100242	0.946870639309525	0.948939375361278	0.954429019256606	0.959871382636656	0.967331746211692	0.989025981729743
"4"	"72007"	"Aguas Buenas Municipio, Puerto Rico"	0.946086646461045	0.948696716589862	0.961635519145668	0.971093111391841	0.97844778606871	0.964321685906872	0.974270043555412
"5"	"72009"	"Aibonito Municipio, Puerto Rico"	0.96786096893227	0.971104770325122	0.987938506828032	1.00182959790428	1.01012711864407	1.01010407632264	1.02788826613632
"6"	"72011"	"Añasco Municipio, Puerto Rico"	0.962113071510278	0.974212034383954	0.988344988344988	0.993987545630234	0.993685127386223	0.99770174593172	1.00856473480048
"7"	"72013"	"Arecibo Municipio, Puerto Rico"	0.931240609915929	0.934245484957028	0.945504355925703	0.954741691859752	0.965828218763166	0.983388548751507	0.999744211257141
"8"	"72015"	"Arroyo Municipio, Puerto Rico"	0.973712920151696	0.974415434623047	0.973433930184369	0.98289998921135	0.988429480149156	0.998934559524477	1.02118989405053
"9"	"72017"	"Barceloneta Municipio, Puerto Rico"	0.930406032014838	0.944572004028197	0.942010257238622	0.950058921532773	0.959337287788914	0.965434449641926	0.976594474761255
"10"	"72019"	"Barranquitas Municipio, Puerto Rico"	0.979880750141568	0.982496067472138	0.984799351438995	0.983418062711113	0.982213165711128	0.981212248911364	0.996945343467035
"11"	"72021"	"Bayamón Municipio, Puerto Rico"	0.928611934655869	0.932480800287553	0.938401313166357	0.946091387227822	0.948084981493861	0.949851284665236	0.968743763426975
"12"	"72023"	"Cabo Rojo Municipio, Puerto Rico"	0.927554827375195	0.935931164078726	0.947760747812568	0.953763959186953	0.960175019244014	0.975034959282718	0.990538017651052
"13"	"72025"	"Caguas Municipio, Puerto Rico"	0.931639732754682	0.933590538688974	0.944293975550838	0.954582663570876	0.956077808053285	0.963370756957931	0.987727594415493
"14"	"72027"	"Camuy Municipio, Puerto Rico"	0.958695715407662	0.956964925680042	0.968550456525631	0.974293682551231	0.975657224058571	0.981149352699716	1.00548332019963
"15"	"72029"	"Canóvanas Municipio, Puerto Rico"	0.897007596424225	0.901181864064603	0.903362944162437	0.899707907809735	0.904084491863347	0.915184139696711	0.940367283323169
"16"	"72031"	"Carolina Municipio, Puerto Rico"	0.917779803433486	0.924234422932007	0.934993377163006	0.944170244309232	0.95211539797523	0.959576497148751	0.976589716826395
"17"	"72033"	"Cataño Municipio, Puerto Rico"	0.929564513756069	0.940025393980133	0.951778294514543	0.96285312938973	0.969018245698088	0.984910780363457	0.996557511080511
"18"	"72035"	"Cayey Municipio, Puerto Rico"	0.925879662954651	0.934263970242422	0.943984391935834	0.95146463757917	0.957249319469856	0.967130589280426	0.975806832679677
"19"	"72037"	"Ceiba Municipio, Puerto Rico"	0.962591799265606	0.968341630367144	0.989790220946	0.98405299313052	1.00176352032247	1.00892857142857	1.02564335727926
"20"	"72039"	"Ciales Municipio, Puerto Rico"	0.975810885101704	0.974224795412793	0.987210684171807	0.984133394876529	0.989821733247044	0.999879234345752	1.02350494675153
"21"	"72041"	"Cidra Municipio, Puerto Rico"	0.935969692009074	0.94531618132127	0.954281480773367	0.962217908274691	0.974695084390785	0.979981366303226	0.999188885109501
"22"	"72043"	"Coamo Municipio, Puerto Rico"	0.943010301128925	0.945376280243432	0.946502364948967	0.955827421093535	0.965382764820583	0.969385136522275	0.989986525403577
"23"	"72045"	"Comerío Municipio, Puerto Rico"	0.949304708465479	0.954351556754106	0.955148514851485	0.968344603055347	0.98468505138903	0.995488253902401	1.01044583243593
"24"	"72047"	"Corozal Municipio, Puerto Rico"	0.967022707927181	0.969217970049917	0.983149544278159	0.984450923226433	0.990836363636364	0.994879275953437	1.00340990111287
"25"	"72049"	"Culebra Municipio, Puerto Rico"	0.775082690187431	0.71420704845815	0.785438499724214	0.773783185840708	0.749303621169916	0.734198645598194	0.685714285714286
"26"	"72051"	"Dorado Municipio, Puerto Rico"	0.925719518576661	0.938402385436284	0.944914363770096	0.95477759254849	0.963676183862611	0.978173634835421	0.98909426470177
"27"	"72053"	"Fajardo Municipio, Puerto Rico"	0.943602883207568	0.959502898800298	0.964254140390169	0.971393147660951	0.973245082502098	0.976127065618482	0.977869100953279
"28"	"72054"	"Florida Municipio, Puerto Rico"	0.940113536419605	0.951676449304495	0.958384035045023	0.978621937181385	0.997578894640174	1.0060507925686	1.01824138847073
"29"	"72055"	"Guánica Municipio, Puerto Rico"	0.965782122905028	0.971212370455667	0.974838528503229	0.983351575551587	0.993415589037846	1.00073457394711	1.03361236316806
"30"	"72057"	"Guayama Municipio, Puerto Rico"	0.929693326402857	0.931917608457893	0.92828915439902	0.926619919795502	0.929276080636706	0.928494937694704	0.949470522350066
"31"	"72059"	"Guayanilla Municipio, Puerto Rico"	0.983963894757058	0.985809031502975	0.991178669324695	0.994894312263862	0.998168977243003	1.01608289708025	1.03307931131809
"32"	"72061"	"Guaynabo Municipio, Puerto Rico"	0.938269144014184	0.94204314896058	0.948884657824704	0.957048870112439	0.961783796509086	0.966366193948441	0.979015219337511
